faze-vs-ence-nuke.out
de_nuke
DMG/!NiKo /!84.491,45.558/!hegrenade/!suNny/!91.115,28.637/!11
KILL/!suNny/!83.919,38.313/!ak47 HS/!NiKo /!84.106,45.769
DMG/!suNny/!83.919,38.313/!ak47/!NiKo /!84.106,45.769/!109
DMG/!rain /!74.709,32.383/!m4a1/!suNny/!73.741,42.706/!22
DMG/!Aerial/!86.466,47.466/!inferno/!Bymas/!71.061,68.361/!1
DMG/!rain /!74.709,32.383/!m4a1/!suNny/!73.969,42.735/!22
DMG/!Aerial/!85.859,46.893/!inferno/!Bymas/!71.755,68.354/!2
DMG/!rain /!74.709,32.383/!m4a1/!suNny/!74.035,42.755/!22
DMG/!rain /!74.709,32.383/!m4a1/!suNny/!74.094,42.825/!22
DMG/!rain /!74.705,32.454/!m4a1/!suNny/!74.102,42.876/!22
KILL/!rain /!74.705,32.454/!m4a1/!suNny/!74.102,42.876
DMG/!Aerial/!85.528,46.182/!inferno/!Bymas/!72.594,68.474/!3
DMG/!Aerial/!85.586,45.412/!inferno/!Bymas/!73.421,68.700/!4
DMG/!broky /!84.424,59.965/!inferno/!sergej/!70.337,49.485/!1
DMG/!coldzera /!68.961,54.482/!ak47/!sergej/!70.296,49.243/!110
KILL/!coldzera /!68.961,54.482/!ak47 HS/!sergej/!70.296,49.243
DMG/!broky /!84.132,59.598/!inferno/!coldzera /!68.961,54.614/!1
DMG/!broky /!84.448,59.706/!inferno/!coldzera /!68.961,55.053/!1
DMG/!broky /!84.651,59.837/!inferno/!coldzera /!68.961,55.459/!1
DMG/!broky /!84.840,60.008/!inferno/!coldzera /!68.961,55.455/!2
DMG/!broky /!84.979,59.991/!inferno/!coldzera /!68.961,55.459/!2
DMG/!broky /!85.509,59.962/!inferno/!coldzera /!68.961,55.459/!2
DMG/!broky /!86.105,59.778/!inferno/!coldzera /!69.100,55.550/!3
DMG/!coldzera /!68.961,57.456/!ak47/!allu/!75.313,42.351/!26
DMG/!allu/!75.497,42.128/!ak47/!rain /!72.891,35.650/!11
DMG/!coldzera /!68.961,57.456/!ak47/!allu/!75.517,42.118/!26
DMG/!allu/!75.534,42.110/!ak47/!rain /!72.890,35.765/!11
DMG/!coldzera /!68.961,57.456/!ak47/!allu/!75.575,42.089/!1
DMG/!allu/!75.586,42.068/!ak47/!rain /!72.861,35.935/!8
DMG/!allu/!75.601,42.032/!ak47/!rain /!72.861,36.004/!8
DMG/!allu/!75.616,41.994/!ak47/!rain /!72.861,36.059/!10
DMG/!coldzera /!69.969,57.825/!ak47/!allu/!75.693,41.798/!26
DMG/!coldzera /!69.952,57.819/!ak47/!allu/!75.704,41.770/!26
KILL/!coldzera /!69.952,57.819/!ak47/!allu/!75.704,41.770
DMG/!coldzera /!69.258,57.474/!ak47/!Aerial/!77.174,41.712/!26
DMG/!coldzera /!69.247,57.469/!ak47/!Aerial/!77.209,41.690/!26
DMG/!Aerial/!77.223,41.681/!ak47/!rain /!72.861,36.061/!27
DMG/!coldzera /!69.235,57.463/!ak47/!Aerial/!77.233,41.673/!26
DMG/!Aerial/!77.247,41.661/!ak47/!rain /!72.861,36.061/!10
DMG/!coldzera /!69.215,57.452/!ak47/!Aerial/!77.258,41.652/!26
KILL/!coldzera /!69.215,57.452/!ak47/!Aerial/!77.258,41.652
DMG/!rain /!75.768,39.166/!m4a1/!Jamppi/!62.031,44.053/!22
DMG/!unnamed/!NAN/!/!coldzera /!78.316,56.749/!20
DMG/!NiKo /!78.719,33.875/!inferno/!allu/!65.111,43.586/!1
DMG/!NiKo /!78.879,33.731/!inferno/!allu/!65.012,43.560/!2
DMG/!NiKo /!78.912,33.662/!inferno/!allu/!64.812,43.505/!3
DMG/!NiKo /!78.912,33.662/!inferno/!allu/!64.525,43.420/!4
DMG/!NiKo /!78.869,33.697/!inferno/!allu/!64.152,43.348/!4
DMG/!NiKo /!78.574,33.962/!inferno/!allu/!63.791,43.378/!5
DMG/!NiKo /!78.432,34.347/!inferno/!allu/!63.425,43.423/!6
DMG/!NiKo /!78.457,34.568/!inferno/!allu/!63.054,43.464/!7
DMG/!NiKo /!78.793,34.516/!inferno/!allu/!62.969,43.473/!8
DMG/!NiKo /!79.202,34.698/!inferno/!allu/!62.924,43.461/!8
DMG/!NiKo /!79.619,34.834/!inferno/!allu/!62.848,43.430/!8
DMG/!NiKo /!80.092,34.984/!inferno/!allu/!62.706,43.385/!8
DMG/!NiKo /!80.446,35.489/!inferno/!allu/!62.685,43.453/!8
DMG/!NiKo /!80.625,35.776/!inferno/!allu/!62.707,43.499/!8
DMG/!NiKo /!80.656,35.986/!inferno/!allu/!62.665,43.484/!8
DMG/!NiKo /!71.518,38.941/!hegrenade/!suNny/!55.143,47.285/!42
DMG/!NiKo /!93.602,20.389/!ak47/!Aerial/!89.767,19.223/!27
DMG/!Aerial/!89.810,19.183/!ak47/!NiKo /!93.601,20.373/!27
DMG/!NiKo /!93.600,20.371/!ak47/!Aerial/!89.781,19.214/!110
KILL/!NiKo /!93.600,20.371/!ak47 HS/!Aerial/!89.781,19.214
DMG/!broky /!100.745,51.791/!awp/!Jamppi/!93.197,45.672/!41
DMG/!suNny/!65.766,42.976/!inferno/!rain /!80.400,39.659/!1
DMG/!rain /!80.439,40.232/!ak47/!sergej/!63.117,42.841/!107
KILL/!rain /!80.439,40.232/!ak47 HS/!sergej/!63.117,42.841
DMG/!suNny/!65.743,42.964/!inferno/!rain /!80.439,40.246/!2
DMG/!suNny/!65.699,42.776/!inferno/!rain /!80.469,40.504/!3
DMG/!suNny/!65.727,42.894/!inferno/!rain /!80.553,41.134/!4
DMG/!suNny/!65.821,43.300/!inferno/!rain /!80.578,41.953/!4
DMG/!suNny/!65.798,43.306/!inferno/!rain /!80.543,42.811/!5
DMG/!NiKo /!78.474,34.332/!ak47/!suNny/!74.902,36.834/!27
DMG/!NiKo /!78.484,34.334/!ak47/!suNny/!74.923,36.845/!27
DMG/!suNny/!74.910,36.832/!ak47/!NiKo /!78.479,34.334/!27
KILL/!suNny/!74.928,36.852/!ak47 HS/!NiKo /!78.484,34.334
DMG/!suNny/!74.928,36.852/!ak47/!NiKo /!78.484,34.334/!110
DMG/!allu/!73.141,25.178/!awp/!broky /!98.446,50.063/!108
KILL/!allu/!73.141,25.178/!awp/!broky /!98.446,50.063
DMG/!Bymas/!75.176,56.798/!m4a1/!Jamppi/!71.620,65.722/!22
DMG/!Bymas/!75.149,56.786/!m4a1/!Jamppi/!71.619,65.696/!22
DMG/!Bymas/!75.154,56.788/!m4a1/!Jamppi/!71.620,65.696/!8
KILL/!Bymas/!75.149,56.786/!m4a1/!Jamppi/!71.614,65.694
DMG/!Bymas/!75.149,56.786/!m4a1/!Jamppi/!71.614,65.694/!22
DMG/!rain /!68.961,39.357/!ak47/!suNny/!71.282,39.557/!27
KILL/!rain /!68.961,39.357/!ak47/!suNny/!71.282,39.557
DMG/!suNny/!91.505,20.717/!inferno/!suNny/!91.505,20.717/!8
DMG/!rain /!78.126,36.364/!hegrenade/!allu/!81.912,20.169/!4
DMG/!rain /!78.126,36.364/!hegrenade/!Aerial/!82.676,20.267/!11
DMG/!rain /!78.126,36.364/!hegrenade/!suNny/!91.505,20.717/!4
DMG/!broky /!85.426,54.232/!awp/!allu/!82.627,20.119/!108
KILL/!broky /!85.426,54.232/!awp/!allu/!82.627,20.119
DMG/!broky /!85.108,54.509/!awp/!sergej/!86.787,19.662/!135
KILL/!broky /!85.108,54.509/!awp/!sergej/!86.787,19.662
DMG/!NiKo /!90.811,29.826/!awp/!Aerial/!92.939,19.214/!110
KILL/!NiKo /!90.811,29.826/!awp/!Aerial/!92.939,19.214
DMG/!Bymas/!83.677,61.203/!m4a1/!Jamppi/!94.176,53.026/!88
DMG/!Bymas/!83.690,61.193/!m4a1/!Jamppi/!94.168,53.034/!22
KILL/!Bymas/!83.690,61.193/!m4a1/!Jamppi/!94.168,53.034
DMG/!broky /!85.458,54.687/!awp/!suNny/!86.623,32.084/!136
KILL/!broky /!85.458,54.687/!awp/!suNny/!86.623,32.084
DMG/!NiKo /!79.686,34.952/!awp/!suNny/!62.065,45.010/!2
DMG/!Bymas/!76.756,67.679/!m4a1/!Aerial/!75.473,73.881/!129
KILL/!Bymas/!76.756,67.679/!m4a1 HS/!Aerial/!75.473,73.881
DMG/!NiKo /!86.328,65.534/!awp/!Jamppi/!69.513,71.922/!110
KILL/!NiKo /!86.328,65.534/!awp/!Jamppi/!69.513,71.922
