faze-vs-ence-dust2.out
de_dust2
DMG/!sergej/!29.337,102.775/!ak47/!coldzera /!36.713,110.867/!27
DMG/!suNny/!24.942,104.107/!ak47/!coldzera /!37.536,109.678/!9
DMG/!suNny/!24.942,104.107/!ak47/!coldzera /!37.641,109.631/!9
DMG/!Jamppi/!27.747,94.182/!awp/!Bymas/!35.116,57.007/!107
KILL/!Jamppi/!27.747,94.182/!awp/!Bymas/!35.116,57.007
DMG/!unnamed/!NAN/!/!suNny/!31.017,98.780/!60
DMG/!unnamed/!NAN/!/!Aerial/!27.443,86.229/!4
DMG/!unnamed/!NAN/!/!Jamppi/!28.319,94.149/!25
DMG/!unnamed/!NAN/!/!NiKo /!55.975,102.502/!23
DMG/!unnamed/!NAN/!/!sergej/!29.422,98.780/!56
DMG/!Jamppi/!29.285,94.196/!awp/!rain /!29.305,54.019/!107
KILL/!Jamppi/!29.285,94.196/!awp/!rain /!29.305,54.019
DMG/!allu/!41.288,92.976/!awp/!NiKo /!70.553,97.540/!31
DMG/!unnamed/!NAN/!/!NiKo /!76.198,107.595/!11
DMG/!coldzera /!55.111,109.005/!awp/!Aerial/!55.242,93.348/!96
DMG/!coldzera /!59.962,109.672/!hegrenade/!Aerial/!56.083,91.987/!4
KILL/!coldzera /!59.962,109.672/!hegrenade/!Aerial/!56.083,91.987
DMG/!sergej/!75.096,65.243/!ak47/!NiKo /!75.331,85.713/!107
KILL/!sergej/!75.096,65.243/!ak47 HS/!NiKo /!75.331,85.713
DMG/!sergej/!69.149,103.900/!inferno/!coldzera /!83.213,123.366/!1
DMG/!sergej/!69.045,104.599/!inferno/!coldzera /!83.213,123.366/!2
DMG/!sergej/!69.282,104.847/!inferno/!coldzera /!83.213,123.366/!3
DMG/!sergej/!69.649,105.079/!inferno/!coldzera /!83.213,123.366/!4
DMG/!unnamed/!NAN/!/!suNny/!76.005,107.595/!3
DMG/!sergej/!69.021,112.015/!ak47/!coldzera /!84.390,117.316/!26
DMG/!sergej/!69.036,112.000/!ak47/!coldzera /!84.392,117.310/!107
KILL/!sergej/!69.036,112.000/!ak47 HS/!coldzera /!84.392,117.310
DMG/!Bymas/!92.654,104.176/!awp/!Jamppi/!68.769,115.081/!436
KILL/!Bymas/!92.654,104.176/!awp HS/!Jamppi/!68.769,115.081
DMG/!sergej/!69.760,115.608/!ak47/!Bymas/!92.346,103.619/!9
DMG/!suNny/!86.715,107.912/!ak47/!Bymas/!90.252,99.997/!27
DMG/!suNny/!86.755,107.930/!ak47/!Bymas/!90.149,99.867/!27
DMG/!suNny/!86.812,107.955/!ak47/!Bymas/!90.081,99.739/!27
DMG/!suNny/!86.810,107.955/!ak47/!Bymas/!90.077,99.731/!27
KILL/!suNny/!86.810,107.955/!ak47/!Bymas/!90.077,99.731
DMG/!broky /!45.281,108.991/!m4a1/!suNny/!87.047,107.665/!21
DMG/!broky /!45.478,109.086/!m4a1/!suNny/!87.190,107.528/!21
DMG/!unnamed/!NAN/!/!sergej/!91.957,87.770/!12
DMG/!coldzera /!30.852,120.048/!inferno/!Aerial/!25.579,93.649/!8
DMG/!coldzera /!30.274,120.736/!inferno/!Aerial/!24.917,93.797/!8
DMG/!broky /!30.793,98.793/!ak47/!Aerial/!29.178,103.719/!27
DMG/!Aerial/!29.136,103.631/!ak47/!broky /!30.782,98.789/!110
KILL/!Aerial/!29.136,103.631/!ak47 HS/!broky /!30.782,98.789
DMG/!coldzera /!32.146,118.350/!m4a1/!Aerial/!29.453,102.679/!22
DMG/!coldzera /!32.093,118.359/!m4a1/!Aerial/!29.494,102.624/!21
DMG/!Aerial/!29.577,102.594/!ak47/!coldzera /!32.058,118.365/!27
DMG/!coldzera /!32.056,118.365/!m4a1/!Aerial/!29.577,102.594/!88
KILL/!coldzera /!32.056,118.365/!m4a1 HS/!Aerial/!29.577,102.594
DMG/!Jamppi/!24.678,114.450/!ak47/!coldzera /!31.099,118.021/!10
DMG/!Jamppi/!24.698,114.466/!ak47/!coldzera /!31.068,118.021/!28
DMG/!Jamppi/!24.674,114.508/!ak47/!coldzera /!31.068,118.021/!28
DMG/!Jamppi/!24.666,114.524/!ak47/!coldzera /!31.068,118.021/!3
DMG/!Jamppi/!24.663,114.529/!ak47/!coldzera /!31.068,118.021/!11
KILL/!Jamppi/!24.663,114.529/!ak47 WB/!coldzera /!31.068,118.021
DMG/!unnamed/!NAN/!/!Jamppi/!31.020,98.780/!60
DMG/!unnamed/!NAN/!/!sergej/!29.421,98.780/!56
DMG/!unnamed/!NAN/!/!allu/!24.736,94.168/!19
DMG/!rain /!88.707,87.685/!molotov/!sergej/!74.910,81.689/!1
DMG/!sergej/!77.606,84.523/!ak47/!rain /!89.110,81.587/!20
DMG/!rain /!87.912,80.265/!ak47/!sergej/!82.586,89.669/!27
DMG/!rain /!87.934,80.208/!ak47/!sergej/!82.612,89.691/!27
DMG/!sergej/!82.633,89.704/!ak47/!rain /!87.936,80.206/!13
DMG/!rain /!87.936,80.206/!ak47/!sergej/!82.633,89.704/!109
KILL/!rain /!87.936,80.206/!ak47 HS/!sergej/!82.633,89.704
DMG/!Aerial/!43.591,113.600/!ak47/!coldzera /!37.129,110.407/!27
DMG/!Aerial/!43.529,113.675/!ak47/!coldzera /!37.100,110.140/!40
DMG/!Aerial/!43.519,113.670/!ak47/!coldzera /!37.100,110.124/!40
KILL/!Aerial/!43.519,113.670/!ak47 HS WB/!coldzera /!37.100,110.124
DMG/!unnamed/!NAN/!/!Jamppi/!31.001,98.780/!60
DMG/!unnamed/!NAN/!/!allu/!38.119,90.948/!16
DMG/!unnamed/!NAN/!/!Aerial/!23.763,90.341/!8
DMG/!unnamed/!NAN/!/!suNny/!26.886,86.230/!4
DMG/!NiKo /!68.045,97.183/!awp/!Aerial/!50.350,94.902/!326
KILL/!NiKo /!68.045,97.183/!awp HS WB/!Aerial/!50.350,94.902
DMG/!Bymas/!79.090,87.125/!ak47/!sergej/!73.486,79.255/!34
DMG/!sergej/!73.593,79.169/!ak47/!Bymas/!79.091,87.151/!27
DMG/!Bymas/!79.127,87.123/!ak47/!sergej/!73.704,79.089/!27
DMG/!sergej/!73.710,79.085/!ak47/!Bymas/!79.130,87.121/!109
KILL/!sergej/!73.710,79.085/!ak47 HS/!Bymas/!79.130,87.121
DMG/!coldzera /!41.833,94.225/!m4a1/!suNny/!58.041,95.359/!21
DMG/!coldzera /!41.835,94.216/!m4a1/!suNny/!58.092,95.377/!21
DMG/!coldzera /!41.836,94.206/!m4a1/!suNny/!58.138,95.384/!21
DMG/!coldzera /!41.838,94.185/!m4a1/!suNny/!58.196,95.389/!21
DMG/!coldzera /!41.840,94.159/!m4a1/!suNny/!58.201,95.390/!21
KILL/!coldzera /!41.840,94.159/!m4a1/!suNny/!58.201,95.390
DMG/!sergej/!69.283,108.748/!inferno/!broky /!75.298,111.188/!8
DMG/!sergej/!68.975,109.593/!inferno/!broky /!75.742,111.846/!8
DMG/!sergej/!68.707,110.374/!inferno/!broky /!75.938,112.453/!8
DMG/!rain /!88.178,118.020/!ak47/!Jamppi/!69.384,112.503/!107
KILL/!rain /!88.178,118.020/!ak47 HS/!Jamppi/!69.384,112.503
DMG/!unnamed/!NAN/!/!allu/!76.608,109.236/!2
DMG/!broky /!76.565,113.731/!m4a1/!allu/!81.403,107.414/!22
DMG/!broky /!76.565,113.731/!m4a1/!allu/!81.492,107.387/!22
DMG/!broky /!76.565,113.731/!m4a1/!allu/!81.551,107.379/!22
DMG/!broky /!76.565,113.731/!m4a1/!allu/!81.556,107.379/!90
KILL/!broky /!76.565,113.731/!m4a1 HS/!allu/!81.556,107.379
KILL/!NiKo /!93.801,100.084/!awp HS WB/!sergej/!74.294,119.793
DMG/!NiKo /!93.801,100.084/!awp/!sergej/!74.294,119.793/!269
DMG/!Jamppi/!87.913,109.618/!ak47/!NiKo /!56.996,110.202/!26
DMG/!Aerial/!88.609,107.901/!ak47/!NiKo /!56.964,110.209/!26
DMG/!broky /!47.904,107.930/!ak47/!Jamppi/!87.921,109.773/!32
DMG/!Aerial/!88.609,107.901/!ak47/!NiKo /!56.947,110.261/!25
DMG/!Aerial/!88.609,107.901/!ak47/!NiKo /!56.949,110.270/!32
KILL/!Aerial/!88.609,107.901/!ak47/!NiKo /!56.949,110.270
DMG/!broky /!47.903,107.958/!ak47/!Jamppi/!87.924,109.872/!25
DMG/!broky /!47.904,107.940/!ak47/!Jamppi/!87.925,109.946/!32
