faze-vs-ence-mirage.out
de_mirage
KILL/!broky /!13.013,74.373/!ak47 HS/!allu/!23.915,78.643
DMG/!suNny/!27.004,71.823/!mp9/!broky /!13.006,74.385/!51
DMG/!suNny/!26.833,71.693/!mp9/!broky /!12.989,74.428/!12
DMG/!suNny/!26.851,71.774/!mp9/!broky /!12.985,74.408/!12
DMG/!broky /!12.982,74.396/!ak47/!suNny/!26.859,71.814/!27
DMG/!broky /!12.983,74.397/!ak47/!suNny/!26.891,71.966/!27
DMG/!broky /!13.003,74.512/!ak47/!suNny/!26.979,72.391/!27
KILL/!broky /!13.003,74.520/!ak47/!suNny/!26.996,72.480
DMG/!broky /!13.003,74.520/!ak47/!suNny/!26.996,72.480/!27
DMG/!sergej/!26.830,66.390/!m4a1/!broky /!13.438,73.133/!4
DMG/!sergej/!26.830,66.390/!m4a1/!broky /!13.478,73.217/!5
DMG/!sergej/!26.830,66.390/!m4a1/!broky /!13.518,73.293/!5
DMG/!sergej/!28.612,68.243/!m4a1/!Bymas/!18.816,82.180/!12
DMG/!sergej/!27.963,69.484/!m4a1/!Bymas/!19.685,83.051/!21
DMG/!sergej/!27.313,67.078/!m4a1/!broky /!16.858,65.410/!22
KILL/!sergej/!27.313,67.078/!m4a1/!broky /!16.858,65.410
DMG/!sergej/!23.430,71.539/!hkp2000/!Bymas/!19.614,82.372/!15
DMG/!sergej/!23.455,71.553/!hkp2000/!Bymas/!19.528,82.341/!15
DMG/!sergej/!23.412,71.538/!hkp2000/!Bymas/!19.450,82.311/!15
KILL/!sergej/!23.412,71.538/!usp_silencer/!Bymas/!19.450,82.311
DMG/!allu/!40.460,55.333/!hegrenade/!NiKo /!67.898,64.634/!22
DMG/!sergej/!57.071,37.072/!ak47/!coldzera /!64.441,22.793/!107
KILL/!sergej/!57.071,37.072/!ak47 HS/!coldzera /!64.441,22.793
DMG/!Bymas/!64.561,26.514/!galilar/!sergej/!57.045,37.058/!21
DMG/!Bymas/!64.569,26.452/!galilar/!sergej/!57.129,37.113/!4
DMG/!suNny/!52.167,38.089/!m4a1/!Bymas/!65.109,26.929/!21
DMG/!Bymas/!65.082,26.893/!galilar/!suNny/!52.168,38.090/!89
DMG/!suNny/!52.222,38.152/!m4a1/!Bymas/!65.156,26.813/!87
KILL/!suNny/!52.222,38.152/!m4a1 HS/!Bymas/!65.156,26.813
DMG/!broky /!62.489,29.096/!ak47/!sergej/!56.265,37.247/!26
DMG/!broky /!62.523,29.091/!ak47/!sergej/!56.371,37.320/!34
